ioc_type,value,source_urls
hash,251d313029b900f1060b5aef7914cc258f937b7b4de9aa6c83b1d6c02b36863e,https://www.cyfirma.com/research/hannibal-stealer-a-rebranded-threat-born-from-sharp-and-tx-lineage/
hash,3a7d034a793a0f03dc9930446aebf326320140584eeb171909962ec7123f9e5e,https://global.ptsecurity.com/analytics/pt-esc-threat-intelligence/crypters-and-tools-part-2-different-paws-same-tangle
hash,55ea07bbd700488fd6330d289f210b2da119401a9e27009472d1afec2f6c6339,https://global.ptsecurity.com/analytics/pt-esc-threat-intelligence/crypters-and-tools-part-2-different-paws-same-tangle
hash,5a8794fa12ff401f9f7212e497d5d877010f493e3bb028abd54cb12f60fc550f,https://global.ptsecurity.com/analytics/pt-esc-threat-intelligence/crypters-and-tools-part-2-different-paws-same-tangle
hash,d18961f7777d329e17cfb824926d9e12,https://www.cyfirma.com/research/hannibal-stealer-a-rebranded-threat-born-from-sharp-and-tx-lineage/
hash,f69330c83662ef3dd691f730cc05d9c4439666ef363531417901a86e7c4d31c8,https://www.cyfirma.com/research/hannibal-stealer-a-rebranded-threat-born-from-sharp-and-tx-lineage/
ipv4,172.16.94.187,https://github.com/rootclay/WMIHACKER
ipv4,62.60.226.64,https://global.ptsecurity.com/analytics/pt-esc-threat-intelligence/crypters-and-tools-part-2-different-paws-same-tangle
domain,0x9c.xyz,https://www.aikido.dev/blog/xrp-supplychain-attack-official-npm-package-infected-with-crypto-stealing-backdoor
domain,hannibal.dev,https://www.cyfirma.com/research/hannibal-stealer-a-rebranded-threat-born-from-sharp-and-tx-lineage/
url,45.61.141.160:8001/login/,https://www.cyfirma.com/research/hannibal-stealer-a-rebranded-threat-born-from-sharp-and-tx-lineage/
url,http://104.168.7.38/xampp/knct/Lightgreatloversonhereforlovingpeoplesalot.hta,https://global.ptsecurity.com/analytics/pt-esc-threat-intelligence/crypters-and-tools-part-2-different-paws-same-tangle
url,http://104.168.7.38/xampp/knct/nicefeelingwithbestgoodthinksfor.txt,https://global.ptsecurity.com/analytics/pt-esc-threat-intelligence/crypters-and-tools-part-2-different-paws-same-tangle
url,http://216.9.224.185/33/eco/goodthingsforbestfeaturesgivenmegoodthingsforbest_______________goodthingsforbestfeaturesgivenme_____________goodthingsforbestfeaturesgivenme.doc,https://global.ptsecurity.com/analytics/pt-esc-threat-intelligence/crypters-and-tools-part-2-different-paws-same-tangle
url,http://45.61.151.60/login/,https://www.cyfirma.com/research/hannibal-stealer-a-rebranded-threat-born-from-sharp-and-tx-lineage/
url,http://k8gege.org/Ladon,https://github.com/k8gege/Ladon
url,https://github.com/k8gege/Ladon/releases,https://github.com/k8gege/Ladon
url,https://k8gege.org/Download,https://github.com/k8gege/Ladon
